CEN,
[co] KS] wT] NE] NM] ND | OK | SD |,| WY
"1999 32,103 52,570 15,109 54,500 968 57,700 22,765 128,967 2,896 7,440 375,018",
"2000 63,823 71,902 31,708 94,961 1,452 69,342 34,508 113,138 9,152 21,401 511,387",
"2001 29,836 52,248 15,717 65,180 1,194 69,855 8,657 141,110 9,485 11,147 404,430",
"2002 32,251 56,109 22,386 41,165 673 83,486 11,337 107,376 4,478 11,835 371,097",
"2003 ' 53,447 88,653 29,953 82,333 792 92,034 11,248 129,960 19,840 16,906 525,166",
"2004 ' 36,918 64,904 19,807 44,546 1,102 83,877 11,088 83,878 5,703 18,637 370,460",
"2005 ' 38,884 75,111 8,351 70,835 1,444 92,345 11,705 68,260 3,118 16,003 386,056",
"2006 ' 22,425 41,813 10,611 43,915 369 85,707 15,552 106,366 4,694 13,637 345,090",
"2007 ' 36,858 30,422 6,715 50,091 1,689 83,965 22,507 76,399 3,224 9,500 321,369",
"2008 ' 27,993 36,672 4,431 63,477 557 68,047 20,775 74,958 6,092 14,460 317,462",
"2009 ' 43,025 73,332 2,839 64,697 1,524 69,234 15,014 78,929 5,458 12,310 366,361",
"2010 ' 20,457 47,884 2,073 78,969 1,324 33,523 12,503 68,755 8,347 16,222 290,057",
"2011' 13,268 34,784 2,053 55,910 4,652 71,219 11,754 79,798 10,337 11,342 295,117",
"2012 ' 49,744 42,765 1,219 75,699 2,893 104,293 17,320 87,580 10,687 20,942 413,142",
"2013 ' 43,446 67,601 1,000 90,463 2,204 139,827 20,918 130,155 2,172 19,288 517,073",
"2014 ' 50,428 85,789 332 88,669 2,183 126,942 12,749 66,287 13,437 14,167 460,983",
"2015 ' 27,030 44,215 38,053 76,417 1,015 105,429 22,063 56,074 6,893 13,029 390,218",
"2016 ' 39,350 66,113 21,671 94,485 1,369 100,608 19,098 61,413 6,320 19,953 430,380",
"2017 ' 32,623 54,270 30,400 108,619 897 141,502 26,559 70,656 3,550 27,161 496,237",
"2018 ' 34,699 34,060 35,225 83,106 5,571 98,009 18,072 59,953 10,893 16,964 396,552",
"2019 1 34,488 32,031 43,954 91,031 1,445 114,382 33,916 46,447 19,206 15,954 432,854",
